45.93	50
45.93	50
45.93	50
48.48	50
47.01	50
47.01	50
44.90	50
44.19	50
44.19	50
44.19	50
44.05	50
46.39	50
46.39	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
46.23	50
48.82	50
47.17	50
47.17	50
45.04	50
44.33	50
44.33	50
44.33	50
44.19	50
46.54	50
46.54	50
49.16	50
47.49	50
47.49	50
47.49	50
45.19	50
44.61	50
44.61	50
44.33	50
46.23	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
45.04	50
44.33	50
44.33	50
44.33	50
44.19	50
46.23	50
46.23	50
48.99	50
47.49	50
47.49	50
47.49	50
45.19	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.04	50
44.33	50
44.33	50
44.33	50
44.19	50
46.23	50
46.23	50
48.65	50
47.17	50
47.17	50
47.17	50
45.33	50
44.75	50
44.75	50
44.75	50
46.39	50
46.39	50
46.39	50
48.65	50
46.85	50
46.85	50
46.85	50
44.75	50
44.05	50
44.05	50
43.77	50
45.93	50
45.93	50
45.93	50
48.65	50
47.17	50
47.17	50
45.19	50
44.61	50
44.61	50
44.61	50
44.05	50
46.08	50
46.08	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.82	50
47.01	50
47.01	50
44.90	50
44.33	50
44.33	50
44.33	50
44.19	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
46.23	50
48.48	50
46.70	50
46.70	50
44.90	50
44.33	50
44.33	50
44.33	50
44.05	50
46.39	50
46.39	50
48.99	50
47.33	50
47.33	50
47.33	50
45.04	50
44.19	50
44.19	50
44.19	50
46.54	50
46.54	50
46.54	50
48.65	50
46.70	50
46.70	50
46.70	50
44.33	50
44.33	50
44.33	50
43.91	50
45.63	50
45.63	50
45.63	50
47.01	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.33	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.04	50
44.33	50
44.33	50
44.05	50
45.93	50
45.93	50
45.93	50
48.48	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
48.65	50
47.01	50
47.01	50
47.01	50
45.19	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
46.39	50
48.48	50
46.85	50
46.85	50
45.04	50
44.33	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
48.99	50
47.49	50
47.49	50
47.49	50
45.19	50
44.47	50
44.47	50
44.47	50
45.93	50
45.93	50
45.93	50
48.48	50
47.01	50
47.01	50
47.01	50
44.33	50
44.33	50
44.33	50
43.91	50
45.93	50
45.93	50
48.48	50
47.17	50
47.17	50
47.17	50
45.04	50
44.19	50
44.19	50
44.19	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
47.01	50
44.90	50
44.19	50
44.19	50
43.91	50
45.93	50
45.93	50
45.93	50
48.48	50
47.17	50
47.17	50
45.33	50
44.61	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
48.82	50
47.17	50
47.17	50
47.17	50
45.04	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.82	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.33	50
44.05	50
46.08	50
46.08	50
48.48	50
47.01	50
47.01	50
47.01	50
45.04	50
44.61	50
44.61	50
44.61	50
46.54	50
46.54	50
46.54	50
48.82	50
46.85	50
46.85	50
46.85	50
44.19	50
44.19	50
44.19	50
43.91	50
45.78	50
45.78	50
45.78	50
47.01	50
47.01	50
47.01	50
45.19	50
44.75	50
44.75	50
44.75	50
46.54	50
46.54	50
46.54	50
48.82	50
46.85	50
46.85	50
46.85	50
44.75	50
44.19	50
44.19	50
44.05	50
46.08	50
46.08	50
46.08	50
48.31	50
46.85	50
46.85	50
45.04	50
44.47	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
48.65	50
47.49	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
46.23	50
48.65	50
46.85	50
46.85	50
44.75	50
44.19	50
44.19	50
44.19	50
43.91	50
46.08	50
46.08	50
48.82	50
47.49	50
47.49	50
47.49	50
45.33	50
44.47	50
44.47	50
44.05	50
45.93	50
45.93	50
45.93	50
48.31	50
46.85	50
46.85	50
46.85	50
44.47	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
46.85	50
46.85	50
46.85	50
45.19	50
44.61	50
44.61	50
44.61	50
46.23	50
46.23	50
46.23	50
48.48	50
46.70	50
46.70	50
46.70	50
44.75	50
44.33	50
44.33	50
44.19	50
46.39	50
46.39	50
46.39	50
48.82	50
47.01	50
47.01	50
44.90	50
44.19	50
44.19	50
44.19	50
44.05	50
46.08	50
46.08	50
48.82	50
47.65	50
47.65	50
47.65	50
45.63	50
44.90	50
44.90	50
44.33	50
46.23	50
46.23	50
46.23	50
48.48	50
46.85	50
46.85	50
44.90	50
44.19	50
44.19	50
44.19	50
43.91	50
46.08	50
46.08	50
48.65	50
47.17	50
47.17	50
47.17	50
45.33	50
44.90	50
44.90	50
44.61	50
46.54	50
46.54	50
46.54	50
48.65	50
46.70	50
46.70	50
44.90	50
44.33	50
44.33	50
44.33	50
44.05	50
46.08	50
46.08	50
48.65	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
46.23	50
46.23	50
46.23	50
48.65	50
47.01	50
47.01	50
47.01	50
44.19	50
44.19	50
44.19	50
44.05	50
46.23	50
46.23	50
46.23	50
48.82	50
47.17	50
47.17	50
45.04	50
44.33	50
44.33	50
44.33	50
43.91	50
45.93	50
45.93	50
48.65	50
47.49	50
47.49	50
47.49	50
45.33	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
46.39	50
48.65	50
46.85	50
46.85	50
44.90	50
44.47	50
44.47	50
44.47	50
44.05	50
45.93	50
45.93	50
48.65	50
47.49	50
47.49	50
47.49	50
45.63	50
44.75	50
44.75	50
44.33	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.19	50
44.33	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
48.82	50
47.49	50
47.49	50
47.49	50
45.33	50
44.47	50
44.47	50
44.19	50
46.23	50
46.23	50
46.23	50
48.48	50
46.70	50
46.70	50
44.75	50
44.19	50
44.19	50
44.19	50
44.05	50
46.23	50
46.23	50
48.65	50
47.17	50
47.17	50
47.17	50
45.63	50
45.19	50
45.19	50
44.75	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
47.01	50
44.33	50
44.33	50
44.33	50
44.05	50
45.78	50
45.78	50
48.65	50
47.49	50
47.49	50
47.49	50
45.19	50
44.47	50
44.47	50
44.47	50
46.23	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
44.47	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
48.48	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
46.39	50
46.39	50
46.39	50
48.65	50
46.85	50
46.85	50
46.85	50
44.90	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
48.65	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
44.33	50
46.54	50
46.54	50
49.16	50
47.49	50
47.49	50
47.49	50
45.48	50
44.90	50
44.90	50
44.47	50
46.39	50
46.39	50
46.39	50
48.48	50
46.70	50
46.70	50
44.75	50
44.33	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.33	50
44.75	50
44.75	50
44.75	50
44.47	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.33	50
46.39	50
46.39	50
48.99	50
47.33	50
47.33	50
47.33	50
45.04	50
44.33	50
44.33	50
44.33	50
46.23	50
46.23	50
46.23	50
48.82	50
47.17	50
47.17	50
47.17	50
44.61	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.04	50
44.33	50
44.33	50
44.33	50
46.70	50
46.70	50
46.70	50
48.65	50
46.70	50
46.70	50
46.70	50
44.75	50
44.19	50
44.19	50
43.91	50
45.93	50
45.93	50
45.93	50
48.82	50
47.49	50
47.49	50
45.33	50
44.75	50
44.75	50
44.75	50
44.75	50
47.01	50
47.01	50
49.16	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.47	50
46.39	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
45.04	50
44.19	50
44.19	50
44.19	50
44.05	50
46.08	50
46.08	50
48.82	50
47.49	50
47.49	50
47.49	50
45.63	50
45.19	50
45.19	50
44.47	50
46.08	50
46.08	50
46.08	50
48.48	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.33	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
48.82	50
47.17	50
47.17	50
45.19	50
44.33	50
44.33	50
44.33	50
44.33	50
46.70	50
46.70	50
49.16	50
47.65	50
47.65	50
47.65	50
45.33	50
44.47	50
44.47	50
44.47	50
46.54	50
46.54	50
46.54	50
48.82	50
47.01	50
47.01	50
47.01	50
44.33	50
44.33	50
44.33	50
44.05	50
46.08	50
46.08	50
46.08	50
48.31	50
47.01	50
47.01	50
45.04	50
44.19	50
44.19	50
44.19	50
44.05	50
46.23	50
46.23	50
48.99	50
47.33	50
47.33	50
47.33	50
45.04	50
44.61	50
44.61	50
44.47	50
46.23	50
46.23	50
46.23	50
48.65	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.75	50
44.47	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
48.99	50
47.49	50
47.49	50
47.49	50
45.33	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
49.16	50
47.49	50
47.49	50
45.19	50
44.47	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
48.82	50
47.65	50
47.65	50
45.48	50
44.75	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
46.39	50
48.99	50
47.49	50
47.49	50
45.33	50
44.61	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
49.16	50
47.98	50
47.98	50
47.98	50
45.63	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.47	50
44.33	50
46.70	50
46.70	50
49.34	50
47.49	50
47.49	50
47.49	50
45.48	50
44.90	50
44.90	50
44.33	50
46.23	50
46.23	50
46.23	50
48.65	50
47.17	50
47.17	50
45.33	50
44.61	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
48.99	50
47.49	50
47.49	50
47.49	50
45.33	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.47	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
48.82	50
47.65	50
47.65	50
45.48	50
44.61	50
44.61	50
44.61	50
44.47	50
46.70	50
46.70	50
49.16	50
47.49	50
47.49	50
47.49	50
45.33	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
46.23	50
48.65	50
47.17	50
47.17	50
45.19	50
44.47	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
44.19	50
46.39	50
46.39	50
48.99	50
47.49	50
47.49	50
47.49	50
45.33	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
46.39	50
48.99	50
47.65	50
47.65	50
45.48	50
44.75	50
44.75	50
44.75	50
44.47	50
46.39	50
46.39	50
48.99	50
47.65	50
47.65	50
47.65	50
45.48	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
46.39	50
48.65	50
47.17	50
47.17	50
45.04	50
44.19	50
44.19	50
44.19	50
44.19	50
46.54	50
46.54	50
49.16	50
47.49	50
47.49	50
47.49	50
45.19	50
44.61	50
44.61	50
44.47	50
46.54	50
46.54	50
46.54	50
48.65	50
46.70	50
46.70	50
44.75	50
44.19	50
44.19	50
44.19	50
44.05	50
46.08	50
46.08	50
48.65	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
46.23	50
46.23	50
46.23	50
48.65	50
47.01	50
47.01	50
47.01	50
45.19	50
44.61	50
44.61	50
44.05	50
46.08	50
46.08	50
46.08	50
48.48	50
47.01	50
47.01	50
45.19	50
44.47	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.33	50
44.33	50
44.19	50
46.39	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
48.99	50
47.49	50
47.49	50
47.49	50
45.19	50
44.47	50
44.47	50
44.47	50
46.70	50
46.70	50
46.70	50
48.82	50
47.17	50
47.17	50
45.33	50
44.61	50
44.61	50
44.61	50
44.19	50
46.39	50
46.39	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.33	50
44.47	50
44.47	50
44.47	50
44.05	50
46.23	50
46.23	50
48.99	50
47.49	50
47.49	50
47.49	50
45.33	50
44.75	50
44.75	50
44.47	50
46.70	50
46.70	50
46.70	50
49.34	50
47.65	50
47.65	50
45.33	50
44.33	50
44.33	50
44.33	50
44.19	50
46.54	50
46.54	50
49.34	50
47.82	50
47.82	50
47.82	50
45.63	50
44.90	50
44.90	50
44.33	50
46.23	50
46.23	50
46.23	50
48.65	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
48.82	50
47.49	50
47.49	50
47.49	50
45.63	50
45.19	50
45.19	50
44.90	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.33	50
44.19	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.19	50
44.33	50
44.33	50
44.33	50
44.05	50
46.39	50
46.39	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.33	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.33	50
44.90	50
44.90	50
44.90	50
44.61	50
46.39	50
46.39	50
48.82	50
47.49	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.75	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
47.01	50
44.19	50
44.19	50
44.19	50
43.91	50
45.78	50
45.78	50
45.78	50
47.49	50
47.49	50
47.49	50
45.78	50
45.33	50
45.33	50
45.33	50
46.70	50
46.70	50
46.70	50
49.16	50
47.33	50
47.33	50
47.33	50
44.47	50
44.47	50
44.47	50
44.47	50
46.54	50
46.54	50
46.54	50
48.82	50
47.33	50
47.33	50
45.04	50
44.19	50
44.19	50
44.19	50
44.19	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.33	50
46.08	50
46.08	50
46.08	50
48.65	50
47.33	50
47.33	50
45.48	50
45.04	50
45.04	50
45.04	50
44.61	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
46.23	50
48.82	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
49.16	50
47.49	50
47.49	50
47.49	50
45.33	50
44.75	50
44.75	50
44.47	50
46.39	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.05	50
45.93	50
45.93	50
45.93	50
48.65	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.75	50
46.70	50
46.70	50
46.70	50
48.82	50
46.85	50
46.85	50
46.85	50
45.04	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.99	50
47.49	50
47.49	50
45.48	50
44.61	50
44.61	50
44.61	50
44.47	50
46.70	50
46.70	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
48.82	50
47.65	50
47.65	50
45.48	50
44.75	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.90	50
44.90	50
44.61	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
46.70	50
46.70	50
46.70	50
48.82	50
46.85	50
46.85	50
46.85	50
44.90	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
46.23	50
48.65	50
47.17	50
47.17	50
45.33	50
44.61	50
44.61	50
44.61	50
46.39	50
46.39	50
46.39	50
48.65	50
47.01	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.19	50
46.08	50
46.08	50
46.08	50
48.48	50
47.33	50
47.33	50
45.33	50
44.33	50
44.33	50
44.33	50
44.33	50
46.70	50
46.70	50
49.16	50
47.49	50
47.49	50
47.49	50
45.48	50
44.90	50
44.90	50
44.61	50
46.70	50
46.70	50
46.70	50
48.99	50
47.33	50
47.33	50
45.19	50
44.33	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
48.99	50
47.65	50
47.65	50
47.65	50
45.78	50
45.19	50
45.19	50
44.75	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.33	50
44.19	50
46.39	50
46.39	50
48.82	50
47.65	50
47.65	50
47.65	50
45.63	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.82	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.19	50
44.33	50
44.33	50
44.33	50
44.19	50
46.54	50
46.54	50
49.16	50
47.49	50
47.49	50
47.49	50
45.33	50
44.75	50
44.75	50
44.75	50
47.01	50
47.01	50
47.01	50
48.99	50
47.17	50
47.17	50
45.19	50
44.47	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
48.82	50
47.01	50
47.01	50
47.01	50
45.19	50
44.90	50
44.90	50
44.61	50
46.70	50
46.70	50
46.70	50
49.34	50
47.49	50
47.49	50
45.19	50
44.33	50
44.33	50
44.33	50
44.05	50
46.08	50
46.08	50
48.65	50
47.33	50
47.33	50
47.33	50
45.48	50
45.04	50
45.04	50
44.61	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
48.99	50
47.49	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
45.19	50
44.61	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
48.99	50
47.65	50
47.65	50
47.65	50
45.48	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
45.04	50
44.33	50
44.33	50
44.33	50
44.33	50
46.54	50
46.54	50
49.16	50
47.65	50
47.65	50
47.65	50
45.48	50
44.75	50
44.75	50
44.47	50
46.70	50
46.70	50
46.70	50
49.16	50
47.33	50
47.33	50
45.19	50
44.33	50
44.33	50
44.33	50
44.05	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.19	50
44.61	50
44.61	50
44.61	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
44.90	50
44.19	50
44.19	50
44.19	50
44.05	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
46.54	50
46.54	50
46.54	50
48.65	50
46.85	50
46.85	50
46.85	50
44.33	50
44.33	50
44.33	50
44.19	50
46.08	50
46.08	50
46.08	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
46.54	50
46.54	50
46.54	50
48.82	50
47.01	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.19	50
46.39	50
46.39	50
46.39	50
48.65	50
47.01	50
47.01	50
45.04	50
44.33	50
44.33	50
44.33	50
44.19	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.19	50
44.61	50
44.61	50
44.33	50
46.08	50
46.08	50
46.08	50
48.48	50
47.01	50
47.01	50
45.19	50
44.75	50
44.75	50
44.75	50
44.61	50
46.85	50
46.85	50
49.51	50
47.98	50
47.98	50
47.98	50
45.78	50
44.90	50
44.90	50
44.47	50
46.39	50
46.39	50
46.39	50
48.65	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.47	50
46.85	50
46.85	50
49.34	50
47.65	50
47.65	50
47.65	50
45.63	50
44.90	50
44.90	50
44.47	50
46.39	50
46.39	50
46.39	50
48.65	50
47.01	50
47.01	50
45.04	50
44.61	50
44.61	50
44.61	50
44.33	50
46.08	50
46.08	50
48.65	50
47.33	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.33	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.90	50
44.90	50
44.90	50
44.47	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.99	50
47.49	50
47.49	50
45.48	50
44.61	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
48.82	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
46.70	50
48.99	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
48.82	50
47.49	50
47.49	50
47.49	50
45.33	50
44.47	50
44.47	50
44.33	50
46.70	50
46.70	50
46.70	50
48.99	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
49.16	50
47.65	50
47.65	50
47.65	50
45.48	50
44.61	50
44.61	50
44.19	50
46.23	50
46.23	50
46.23	50
48.65	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.47	50
46.70	50
46.70	50
49.16	50
47.65	50
47.65	50
47.65	50
45.48	50
44.75	50
44.75	50
44.75	50
46.85	50
46.85	50
46.85	50
48.99	50
47.01	50
47.01	50
47.01	50
44.47	50
44.47	50
44.47	50
44.05	50
45.93	50
45.93	50
48.65	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
46.54	50
46.54	50
46.54	50
48.82	50
47.17	50
47.17	50
47.17	50
45.19	50
44.47	50
44.47	50
44.05	50
45.93	50
45.93	50
45.93	50
48.48	50
47.01	50
47.01	50
45.48	50
45.19	50
45.19	50
45.19	50
46.85	50
46.85	50
46.85	50
48.99	50
46.85	50
46.85	50
46.85	50
44.90	50
44.33	50
44.33	50
44.19	50
46.39	50
46.39	50
46.39	50
48.65	50
47.01	50
47.01	50
45.19	50
44.61	50
44.61	50
44.61	50
44.47	50
46.70	50
46.70	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.33	50
44.61	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
48.82	50
47.49	50
47.49	50
47.49	50
45.33	50
44.61	50
44.61	50
44.61	50
46.70	50
46.70	50
46.70	50
48.99	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
48.99	50
47.65	50
47.65	50
47.65	50
45.63	50
45.04	50
45.04	50
44.75	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
45.19	50
44.61	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
48.82	50
47.49	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.19	50
46.23	50
46.23	50
48.82	50
47.49	50
47.49	50
47.49	50
45.63	50
44.90	50
44.90	50
44.61	50
46.85	50
46.85	50
46.85	50
49.16	50
47.17	50
47.17	50
45.33	50
44.90	50
44.90	50
44.90	50
44.47	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
46.85	50
46.85	50
46.85	50
48.99	50
47.17	50
47.17	50
45.04	50
44.33	50
44.33	50
44.33	50
44.05	50
46.39	50
46.39	50
48.99	50
47.49	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.47	50
46.70	50
46.70	50
46.70	50
49.16	50
47.33	50
47.33	50
45.33	50
44.75	50
44.75	50
44.75	50
44.47	50
46.54	50
46.54	50
48.99	50
47.49	50
47.49	50
47.49	50
45.48	50
44.75	50
44.75	50
44.61	50
46.70	50
46.70	50
46.70	50
48.82	50
47.01	50
47.01	50
45.04	50
44.47	50
44.47	50
44.47	50
44.33	50
46.39	50
46.39	50
48.82	50
47.33	50
47.33	50
47.33	50
45.19	50
44.47	50
44.47	50
44.33	50
46.54	50
46.54	50
46.54	50
48.99	50
47.33	50
47.33	50
45.19	50
44.61	50
44.61	50
44.61	50
44.61	50
46.85	50
46.85	50
49.34	50
47.49	50
47.49	50
47.49	50
45.33	50
44.61	50
44.61	50
44.33	50
46.39	50
46.39	50
46.39	50
48.65	50
47.17	50
47.17	50
45.33	50
44.75	50
44.75	50
44.75	50
44.33	50
46.23	50
46.23	50
48.65	50
47.17	50
47.17	50
47.17	50
